"상품군별","운영형태별",2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4,2021 1/4,2021 2/4
"농축수산물","On/Offline몰",279725,235701,285658,241803,328488,276503,325426,292869,357429,313488,376363,328601,563554,458479,581439,535779,670683,530852
"생활용품","계",1818922,1773124,1898954,1992561,2085807,2113723,2146921,2376374,2436612,2496424,2579817,2767629,3392773,3483841,3764128,3864451,3832627,3969769
"생활용품","Online몰",1371863,1350959,1446379,1545516,1588882,1637907,1658168,1863723,1912549,2011550,2034506,2222340,2785643,2889628,3054357,3150282,3186660,3367430
"생활용품","On/Offline몰",447059,422166,452574,447046,496925,475818,488752,512652,524063,484875,545311,545289,607130,594212,709771,714169,645967,602340
"자동차 및 자동차용품","계",238118,255915,273942,255265,226620,247864,254366,281011,283218,302460,379309,381916,487973,539318,580196,576980,661788,1106392
"자동차 및 자동차용품","Online몰",217042,227245,238367,227306,210864,232474,235326,255880,261511,278926,335115,296410,331667,401180,431107,508425,420734,511285
"자동차 및 자동차용품","On/Offline몰",21077,28671,35574,27960,15756,15390,19040,25131,21707,23532,44195,85505,156306,138138,149089,68555,241054,595108
"가구","계",648466,611048,666441,685939,770511,758774,734493,872491,867910,852172,837768,978032,1108393,1221123,1256965,1407957,1463293,1371656
"가구","Online몰",434292,411655,448864,467567,518472,526169,512639,609872,643824,638796,640048,761492,880354,969606,1011978,1124885,1200219,1142247
"가구","On/Offline몰",214173,199392,217577,218372,252040,232605,221854,262618,224087,213375,197719,216540,228039,251517,244987,283071,263074,229411
"애완용품","계",180366,171587,185167,199446,201756,214697,213555,206044,211294,231212,237965,262208,262493,270533,286316,310273,304036,313908
"애완용품","Online몰",168530,159411,173971,186357,187631,200923,199501,191092,194997,214388,216794,239686,238921,243745,258938,279946,274607,283379
"애완용품","On/Offline몰",11836,12176,11196,13089,14125,13774,14054,14952,16296,16824,21171,22521,23571,26789,27379,30327,29429,30531
"여행 및 교통서비스","계",3398499,3527644,4008689,3643518,4001670,4163592,4393793,4022359,4335831,4368664,4714405,4603342,2602146,1614664,2156554,1861359,1696628,2312110
"여행 및 교통서비스","Online몰",1501492,1673620,1975738,1695041,1611485,1786859,1992138,1646621,1745866,1865662,2161238,2034354,1173163,746184,1093566,925631,785291,1081289
"여행 및 교통서비스","On/Offline몰",1897007,1854024,2032951,1948476,2390186,2376732,2401655,2375737,2589965,2503002,2553169,2568988,1428984,868481,1062991,935728,911337,1230822
"문화 및 레저서비스","계",426279,397695,463561,531637,505641,488326,561036,570240,526734,652538,602649,598118,266359,193849,244760,187607,198060,315654
"문화 및 레저서비스","Online몰",253774,256616,259564,333164,333250,294358,289929,353072,281908,390156,343960,355756,156067,155916,161399,137541,130926,196967
"문화 및 레저서비스","On/Offline몰",172506,141080,203997,198474,172391,193968,271107,217168,244826,262382,258690,242362,110292,37932,83363,50067,67134,118687
"e쿠폰서비스","계",259593,278565,292894,370576,374419,467879,556573,709671,731775,762634,868464,1017153,994034,997964,1088317,1185905,1405363,1421705
"e쿠폰서비스","Online몰",254236,265499,287456,364413,368411,453228,548580,702130,718096,746897,854134,1000938,980137,989142,1075386,1171947,1391661,1410708
"e쿠폰서비스","On/Offline몰",5357,13066,5438,6163,6008,14651,7993,7541,13679,15737,14330,16215,13897,8822,12931,13958,13702,10997
"음식서비스","계",549374,602738,717502,862954,1033465,1168404,1417607,1643301,1931381,2203180,2600812,2999989,3451422,3837217,4658762,5386214,5821858,6089629
"음식서비스","Online몰",477233,531071,641875,779955,949327,1083925,1326319,1548108,1837054,2108093,2492130,2888299,3323288,3703841,4485044,5226246,5626554,5898206
"음식서비스","On/Offline몰",72142,71669,75628,82999,84138,84479,91288,95193,94326,95087,108682,111690,128134,133375,173718,159969,195303,191423
"기타서비스","계",142276,137812,228925,165867,192657,179886,257699,228933,254673,257768,400680,435979,414636,344422,432785,443876,614586,490739
"기타서비스","Online몰",125893,89900,167182,112513,123976,104855,178173,150352,147000,145462,295125,344984,327335,237376,318470,336527,515718,377800
"기타서비스","On/Offline몰",16383,47912,61742,53355,68681,75032,79526,78581,107674,112305,105554,90993,87301,107047,114314,107349,98869,112938
"기타","계",461718,507913,540623,663453,729825,644523,624873,867044,773279,553463,578796,626810,996958,880226,980115,986234,942599,866963
"기타","Online몰",406659,457646,481470,596511,651528,559241,545665,761268,672698,465462,488921,506894,865660,773147,868828,815907,757522,709758
"기타","On/Offline몰",55059,50266,59153,66942,78298,85284,79207,105774,100581,88001,89875,119915,131298,107078,111286,170328,185077,157204
